#Stellar_Type,Mass,Luminosity,Radius,Temp,B-V,Mv,BC(Temp),Mbol
#None,Mstar/Msun,Lstar/Lsun,Rstar/Rsun,K,Color,Mag,Corr,Mag
DO5,0.50,0.00,0.01,10080.00,-0.07,13.10,-0.45,12.65
DO6,0.40,0.00,0.01,8400.00,0.09,13.70,-0.20,13.50
DO7,0.30,0.00,0.01,7200.00,0.34,14.20,-0.09,14.11
DO8,0.20,0.00,0.01,6300.00,0.55,14.80,-0.10,14.70
DO9,0.10,0.00,0.01,5600.00,0.74,15.40,-0.22,15.18
DQ0,1.10,6.91,0.01,100000.00,-0.37,10.20,-7.55,2.65
DQ1,0.90,0.27,0.01,50400.00,-0.35,10.80,-4.61,6.19
DQ2,0.80,0.03,0.01,25200.00,-0.27,11.40,-2.67,8.73
DQ3,0.70,0.01,0.01,16800.00,-0.20,11.90,-1.60,10.30
DQ4,0.60,0.00,0.01,12600.00,-0.13,12.50,-0.90,11.60
DQ5,0.50,0.00,0.01,10080.00,-0.07,13.10,-0.45,12.65
DQ6,0.40,0.00,0.01,8400.00,0.09,13.70,-0.20,13.50
DQ7,0.30,0.00,0.01,7200.00,0.34,14.20,-0.09,14.11
DQ8,0.20,0.00,0.01,6300.00,0.55,14.80,-0.10,14.70
DQ9,0.10,0.00,0.01,5600.00,0.74,15.40,-0.22,15.18
DZ0,1.10,6.91,0.01,100000.00,-0.37,10.20,-7.55,2.65
DZ1,0.90,0.27,0.01,50400.00,-0.35,10.80,-4.61,6.19
DZ2,0.80,0.03,0.01,25200.00,-0.27,11.40,-2.67,8.73
DZ3,0.70,0.01,0.01,16800.00,-0.20,11.90,-1.60,10.30
DZ4,0.60,0.00,0.01,12600.00,-0.13,12.50,-0.90,11.60
DZ5,0.50,0.00,0.01,10080.00,-0.07,13.10,-0.45,12.65
DZ6,0.40,0.00,0.01,8400.00,0.09,13.70,-0.20,13.50
DZ7,0.30,0.00,0.01,7200.00,0.34,14.20,-0.09,14.11
DZ8,0.20,0.00,0.01,6300.00,0.55,14.80,-0.10,14.70
DZ9,0.10,0.00,0.01,5600.00,0.74,15.40,-0.22,15.18
F0Ia,10.80,228000.00,258.00,7967.00,0.18,-8.50,-0.15,-8.65
F0Ia0,12.60,274000.00,283.00,7967.00,0.18,-8.70,-0.15,-8.85
F0Ib,8.90,9960.00,54.00,7967.00,0.18,-5.10,-0.15,-5.25
F0II,7.10,870.00,18.50,7400.00,0.30,-2.50,-0.10,-2.60
F0III,5.30,21.90,2.93,7400.00,0.30,1.50,-0.10,1.40
F0IV,3.40,11.50,2.12,7400.00,0.30,2.20,-0.10,2.10
F0V,1.60,7.94,1.77,7400.00,0.30,2.60,-0.10,2.50
F0VI,1.40,2.40,0.97,7400.00,0.30,3.90,-0.10,3.80
F1Ia,10.30,224000.00,269.00,7773.00,0.22,-8.50,-0.13,-8.63
F1Ia0,12.10,296000.00,309.00,7773.00,0.22,-8.80,-0.13,-8.93
F1Ib,8.60,9790.00,56.20,7773.00,0.22,-5.10,-0.13,-5.23
F1II,6.80,865.00,19.20,7260.00,0.33,-2.50,-0.09,-2.59
F1III,5.10,21.70,3.04,7260.00,0.33,1.50,-0.09,1.41
F1IV,3.30,12.50,2.30,7260.00,0.33,2.10,-0.09,2.01
F1V,1.60,6.56,1.67,7260.00,0.33,2.80,-0.09,2.71
F1VI,1.30,1.98,0.92,7260.00,0.33,4.10,-0.09,4.01
F2Ia,9.90,202000.00,268.00,7580.00,0.26,-8.40,-0.11,-8.51
F2Ia0,11.60,291000.00,323.00,7580.00,0.26,-8.80,-0.11,-8.91
F2Ib,8.20,8800.00,56.10,7580.00,0.26,-5.00,-0.11,-5.11
F2II,6.50,860.00,19.90,7120.00,0.36,-2.50,-0.09,-2.59
F2III,4.90,19.70,3.01,7120.00,0.36,1.60,-0.09,1.51
F2IV,3.20,14.90,2.62,7120.00,0.36,1.90,-0.09,1.81
F2V,1.50,5.95,1.65,7120.00,0.36,2.90,-0.09,2.81
F2VI,1.30,1.64,0.87,7120.00,0.36,4.30,-0.09,4.21
F3Ia,9.40,199000.00,281.00,7387.00,0.30,-8.40,-0.10,-8.50
